#Library information						Meta-information						Shotgun				mtDNA capture								390k capture										Library assessment		
Library ID	Individual ID	Collaborator Individual ID	Lab	LibraryType	Batch number	Culture ID	Location	Date	Country	Latitude	Longitude	 Reads going into alignment 	 Reads mapping to genome 	 Reads overlapping SNP targets 	Mean read length (dedupped)	 Reads going into alignment 	 Unique reads mapping to mtDNA 	 mt coverage 	C>T substitution rate in first base 	mt haplogroup (for >10x)	 One minus contamination estimate (for >10x)	 One minus contamination estimate (95% CI) (for >10x)	Mean read length (dedupped) (for <10x)	 Reads going into alignment 	 Reads mapping to human genome 	 Reads overlapping SNP targets 	 Unique reads mapping to 390k target 	 C>T substitution rate in first base 	Hits on X chromosome	Hits on Y chromosome	Fraction of SNPs hit at least once	Average target coverage	Mean read length (dedupped)	Overall assessment	Ratio of reads on 390k targets  for 390k capture vs. shotgun experiments	Additional comments
S0051	I0051	ALB2	Adelaide	plus	2	Alberstedt_LN	Alberstedt	2494-2344 calBCE	Germany	51.45	11.63	1186	13	3	69	21553	19570	55.3	0.002	H3b	1	"[ 0.9970953,0.9999802 ]"	87	76189	46530	44281	4120	0.029	6	10	0.01	0.01	81	failed 390k QC 	230	..
S0099	I0099	HAL36C	Adelaide	minus	3	Halberstadt_LBA	Halberstadt-Sonntagsfeld	1113-1021 calBCE 	Germany	51.89	11.04	13808	4649	70	79	234376	190953	523	0.244	H23	0.954	"[ 0.9381630,0.9680522 ]"	87	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0112	I0112	QUEXII6	Adelaide	plus	3	Bell_Beaker_LN	Quedlinburg XII	2340-2190 calBCE	Germany	51.79	11.14	6853583	3910494	51705	83	203679	154883	475	0.008	H13a1a2	0.998	"[ 0.9939945,0.9991429 ]"	90	21498151	20032946	15763483	2668335	0.015	1737	2	0.96	6.78	81	passed	97	..
S0118	I0118	ALB3	Adelaide	plus	3	Alberstedt_LN	Alberstedt	2459-2345 calBCE 	Germany	51.45	11.63	9062524	4643820	48032	67	215472	154655	391	0.008	HV6'17	0.989	"[ 0.9831525,0.9933091 ]"	82	40405579	37683597	29370096	5910511	0.035	1785	1	0.97	15.01	74	passed	137	..
S0106	I0106	ESP26	Adelaide	plus	3	Corded_Ware_LN	Esperstedt	2454-2291 calBCE 	Germany	51.42	11.68	13612	322	3	50	195980	167071	389	0.008	T2a1b1	1	"[ 0.9985374,0.9999871 ]"	77	1255958	888085	746869	99757	0.044	354	0	0.2	0.25	61	passed	2698	..
S0114	I0114	ESP2	Adelaide	plus	3	Unetice_EBA_relative_of_I0117	Esperstedt	2131-1979 calBCE 	Germany	51.42	11.68	40148	3556	44	82	126981	110220	316	0.009	I3a	0.997	"[ 0.9940169,0.9987163 ]"	92	2683765	2315890	2087452	420076	0.027	691	723	0.6	1.07	86	passed	710	..
S0107	I0050	ESP5	Adelaide	plus	3	Corded_Ware_LN	Esperstedt	2800-2050 BCE	Germany	51.42	11.68	20223	96	0	40	124746	107121	316	0.003	U5a2d	1	"[ 0.9988735,0.9999924 ]"	94	134934	55334	48564	1854	0.016	3	7	0	0	72	failed 390k QC 	n/a	..
S0105	I0049	ESP22	Adelaide	plus	3	Corded_Ware_LN	Esperstedt	2454-2291 calBCE 	Germany	51.42	11.68	25144	730	7	55	137529	120122	278	0.006	X2b4	1	"[ 0.9986603,0.9999893 ]"	73	2242824	1564348	1311181	147192	0.038	527	0	0.29	0.37	63	passed	2100	..
S0104	I0104	ESP11	Adelaide	plus	3	Corded_Ware_LN	Esperstedt	2473-2348 calBCE 	Germany	51.42	11.68	5889703	1970313	24979	78	138845	122397	267	0.006	U4b1a1a1	1	"[ 0.9985719,0.9999883 ]"	78	9211261	7940902	5580344	1505957	0.017	1451	1474	0.9	3.82	79	passed	143	..
S0109	I0060	ROT3	Adelaide	plus	3	Bell_Beaker_LN	Rothenschirmbach	2500-2050 BCE	Germany	51.45	11.54	23484	653	3	47	174473	150200	258	0.005	K1a2c	0.993	"[ 0.9902611,0.9964915 ]"	70	3548386	2202894	1663546	62360	0.027	257	0	0.14	0.16	54	passed	3670	..
S0102	I0102	HAL15	Adelaide	minus	3	LBK_EN_contaminated?	Halberstadt-Sonntagsfeld	5030-4948 calBCE	Germany	51.9	11.05	47927	2302	23	57	114203	93815	254	0.338	N1a1a1a3	0.986	"[ 0.9776138,0.9915007 ]"	77	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0100	I0100	HAL4	Adelaide	minus	3	LBK_EN	Halberstadt-Sonntagsfeld	5032-4946 calBCE	Germany	51.89	11.04	30215	24691	261	60	131128	118355	247	0.344	N1a1a1a	0.989	"[ 0.9811380,0.9937255 ]"	68	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0111	I0111	ROT4	Adelaide	plus	3	Bell_Beaker_LN	Rothenschirmbach	2414-2333 calBCE	Germany	51.45	11.54	23670	1563	12	74	77241	66517	192	0.004	H3	1	"[ 0.9975786,0.9999633 ]"	80	3701598	2958926	2578636	419675	0.023	1071	2	0.59	1.07	83	passed	1374	..
S0103	I0103	ESP16	Adelaide	plus	3	Corded_Ware_LN	Esperstedt	2566-2477 calBCE 	Germany	51.42	11.68	2790227	1509872	13815	56	101141	90992	175	0.015	W6a	0.973	"[ 0.9662224,0.9776750 ]"	61	40077139	36684002	25034855	10062749	0.03	1748	1	0.96	25.55	65	passed	126	..
S0113	I0113	QUEXII4	Adelaide	plus	3	Bell_Beaker_LN	Quedlinburg XII	2290-2130 calBCE 	Germany	51.79	11.14	7801389	1136361	12328	75	142178	118048	151	0.012	J1c5	0.997	"[ 0.9937015,0.9987303 ]"	73	3259712	2754148	2364017	352281	0.028	1050	2	0.55	0.89	81	passed	459	..
S0108	I0108	ROT6	Adelaide	plus	3	Bell_Beaker_LN	Rothenschirmbach	2497-2436 calBCE 	Germany	51.45	11.54	8443357	2484244	30790	90	97918	84751	146	0.007	H5a3	0.997	"[ 0.9917046,0.9992383 ]"	76	3858323	3243855	2673841	512408	0.023	1237	0	0.67	1.3	94	passed	190	..
S0115	I0115	ESP3	Adelaide	plus	3	Unetice_EBA	Esperstedt	1931-1780 calBCE 	Germany	51.42	11.68	11150788	2541416	18588	52	535703	463018	144	0.02	U5a1	0.972	"[ 0.9645126,0.9777838 ]"	57	2714453	2430729	1801089	209591	0.03	665	2	0.36	0.53	58	passed	398	..
S0117	I0117	ESP29	Adelaide	plus	3	Unetice_EBA	Esperstedt	2199-2064 calBCE 	Germany	51.42	11.68	9432628	2922190	31891	67	106064	89271	123	0.006	I3a	0.979	"[ 0.9725647,0.9834183 ]"	69	3747569	3347043	2699297	750029	0.006	1352	0	0.74	1.9	75	passed	213	..
S0101	I0101	DEB36	Adelaide	minus	3	LBK_EN	Derenburg-Meerenstieg II	5500-4775 BCE	Germany	51.87	10.9	15859	735	8	51	333767	250913	117	0.359	U5a1a	0.999	"[ 0.9814940,0.9999325 ]"	59	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0116	I0116	ESP4	Adelaide	plus	3	Unetice_EBA	Esperstedt	2118-1961 calBCE 	Germany	51.42	11.68	8892682	7956986	95568	72	177550	171792	97.5	0.019	W3a1	0.965	"[ 0.9588887,0.9705920 ]"	68	11538135	11229145	8075010	1615810	0.027	1302	1321	0.87	4.1	78	passed	65	..
S0164	I0164	QUEVIII6	Adelaide	minus	4	Unetice_EBA	Quedlinburg VIII	2012-1919 calBCE 	Germany	51.79	11.14	21259	6312	57	63	113955	95693	219	0.406	U5b2a1	0.968	"[ 0.9557343,0.9776161 ]"	68	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0166	I0166	HAL13	Adelaide	minus	4	R_ssen_EN	Halberstadt-Sonntagsfeld	5500-4775 BCE	Germany	51.9	11.05	23724	4851	72	87	142764	120100	211	0.331	V1a	0.925	"[ 0.9130580,0.9388817 ]"	90	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0172	I0172	ESP24	Adelaide	minus	4	Esperstedt_MN	Esperstedt	3360-3086 calBCE 	Germany	51.42	11.68	26520	23357	187	57	119539	111869	200	0.359	T2b	0.98	"[ 0.9731377,0.9863220 ]"	55	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0175	I0175	BAL16	Adelaide	minus	4	Lengyel_Neolithic	B‡tasz_k-Lajv_rpuszta	4900-4500 BCE	Hungary	46.2	18.7	18545	127	2	79	172619	113812	169	0.358	N1a1a1	0.987	"[ 0.9806466,0.9925889 ]"	85	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0171	I0171	BZH12	Adelaide	minus	4	BenzigerodeHeimburg_LN	Benzingerode-Heimburg	2204-2136 calBCE	Germany	51.82	10.91	28076	195	1	37	136547	85292	165	0.419	U5a1a2a	0.978	"[ 0.9605404,0.9851260 ]"	61	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0174	I0174	BAM25	Adelaide	minus	4	Starcevo_EN	"Als—ny_k-B‡tasz_k, M_rn_ki telep"	5710-5530 calBCE 	Hungary	46.2	18.7	25967	1312	17	85	128367	93380	160	0.349	N1a1a1	0.987	"[ 0.9810152,0.9931999 ]"	85	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0163	I0163	OSH7	Adelaide	minus	4	R_ssen_EN	"Oberwiederstedt 3, Schrammh_he"	4582-4407 calBCE	Germany	51.66	11.53	17687	2543	23	59	129731	112364	125	0.339	H5b	1	"[ 0.9951077,0.9999679 ]"	64	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0170	I0170	OAW1	Adelaide	minus	4	Gatersleben_EN	"Oberwiederstedt, Arschkerbe West"	4475-3950 BCE	Germany	51.66	11.53	14391	232	3	54	182476	128701	119	0.49	HV6'17	0.947	"[ 0.9236031,0.9640051 ]"	64	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0162	I0162	OSH1	Adelaide	minus	4	R_ssen_EN	"Oberwiederstedt 3, Schrammh_he"	4625-4250 BCE	Germany	51.67	11.53	36473	3537	46	60	137666	114452	96.2	0.339	H16a'c'd	0.981	"[ 0.9651766,0.9956989 ]"	68	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0173	I0173	BAM22	Adelaide	minus	4	Starcevo_EN	"Als—ny_k-B‡tasz_k, M_rn_ki telep"	5710-5550 calBCE 	Hungary	46.2	18.7	29783	79	1	67	95168	32527	94.3	0.303	..	0.826	"[ 0.8148353,0.8367875 ]"	59	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0176	I0176	SZEH4	Adelaide	minus	4	LBKT_EN	Szemely-Hegyes	5210-4940 calBCE 	Hungary	46.4	18.74	17685	494	4	71	496214	318610	83.3	0.355	N1a1a1a3	0.984	"[ 0.9763953,0.9897334 ]"	68	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0165	I0165	OSH9	Adelaide	minus	4	R_ssen_EN	"Oberwiederstedt 3, Schrammh_he"	4625-4250 BCE	Germany	51.66	11.53	40254	45	1	27	806916	342995	32.7	0.342	U5b1b	0.781	"[ 0.7572899,0.7955603 ]"	60	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0168	I0168	OSH10	Adelaide	minus	4	R_ssen_EN	"Oberwiederstedt 3, Schrammh_he"	4625-4250 BCE	Germany	51.66	11.53	22088	110	1	47	74471	55606	6.97	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0177	I0177	LGCS2	Adelaide	minus	4	Starcevo_EN	L‡nycs—k-Gata-Csotola	5800-5400 BCE	Hungary	45.99	18.58	13434	28	0	48	57357	21982	5.92	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0169	I0169	OSH8	Adelaide	minus	4	R_ssen_EN	"Oberwiederstedt 3, Schrammh_he"	4686-4552 calBCE	Germany	51.66	11.53	21250	711	11	68	134030	95117	4.3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0167	I0167	OAO1	Adelaide	minus	4	R_ssen_EN	"Oberwiederstedt 4, Arschkerbe Ost"	4625-4250 BCE	Germany	51.66	11.53	12537	155	1	24	41150	24165	1.75	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0230	I0061	UzOO74	Adelaide	plus	5	Karelia_HG	"Yuzhnyy Oleni Ostrov, Karelia"	5500-5000 BCE	Russia	61.65	35.65	9048388	3549900	36296	63	192580	138345	366	0.011	C1g	0.995	"[ 0.9915251,0.9974554 ]"	75	16660129	15907089	13478961	2827934	0.015	1614	1671	0.95	7.18	72	passed	202	..
S0223	I0054	UWS4	Adelaide	plus	5	LBK_EN	Unterwiederstedt	5209-5070 calBCE 	Germany	51.66	11.53	9811238	5125780	57082	66	80566	71907	172	0.012	J1c17	0.98	"[ 0.9751038,0.9845945 ]"	70	77690446	72051450	53654665	13912076	0.023	1794	2	0.98	35.33	71	passed	119	..
S0229	I0060	ROT3	Adelaide	plus	5	Bell_Beaker_LN	Rothenschirmbach	2294-2206 calBCE	Germany	51.45	11.54	42509	524	5	58	78336	62922	168	0.006	K1a2c	0.996	"[ 0.9940587,0.9997742 ]"	76	98806	60400	51907	6729	0.019	35	0	0.02	0.02	65	failed 390k QC 	4466	..
S0227	I0058	BZH4	Adelaide	plus	5	BenzigerodeHeimburg_LN	Benzingerode-Heimburg	2283-2146 calBCE 	Germany	51.82	10.91	37039	1669	10	40	106415	81116	135	0.01	H1e	0.998	"[ 0.9943749,0.9992037 ]"	55	5965256	4972823	3522935	844787	0.042	1068	1	0.67	2.15	53	passed	2187	..
S0228	I0059	BZH6	Adelaide	plus	5	BenzigerodeHeimburg_LN	Benzingerode-Heimburg	2286-2153 calBCE 	Germany	51.82	10.91	25794	689	6	45	82605	62013	127	0.006	H1/H1b'ad	0.998	"[ 0.9949915,0.9993036 ]"	60	4330140	3364371	2933130	501820	0.023	1123	0	0.63	1.27	68	passed	2912	..
S0225	I0056	HAL14	Adelaide	plus	5	LBK_EN	Halberstadt-Sonntagsfeld	5206-5052 calBCE 	Germany	51.89	11.04	18456	969	11	27	79840	60366	127	0.012	T2b(8)	0.839	"[ 0.8098161,0.8725745 ]"	79	2256182	1777541	1650496	217324	0.029	410	374	0.39	0.55	87	passed	1227	"Manual examination of the mt-DNA reads reveals no evidence of contamination. The samples has two heteroplasmic sites (np 3338 C/T and 16093 C/T), which might expaling the signal of contamination by the contamination estimator, especially since 16093 is well known to be a recurrent mutation polymorphic in humans.."
S0226	I0057	HAL34	Adelaide	plus	5	LBK_EN	Halberstadt-Sonntagsfeld	5207-5067 calBCE 	Germany	51.89	11.04	13740	437	2	25	82779	54390	60.7	0.008	N1a1a1	1	"[ 0.9981528,0.9999876 ]"	54	3125419	1967967	1608404	76785	0.033	307	1	0.16	0.19	55	passed	3535	..
S0212	I0212	HQU5	Adelaide	minus	5	Baalberge_MN	Halle-Queis	"3944-3852 calBCE, 3427-3381 calBCE, 3631-3561 calBCE "	Germany	51.48	12.13	41363	97	0	52	38436	22151	19.5	0.393	T2c1d1	0.942	"[ 0.9255226,0.9562325 ]"	59	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0224	LibraryBlank	LibraryBlank	Adelaide	plus	5	n/a	n/a	n/a	n/a	n/a	n/a	76	22	1	99	142715	122485	0.0984	n/a	n/a	n/a	n/a	n/a	71328	65237	40357	176	0.012	0	0	0	0	82	clean control	43	..
S0273	I0100	HAL4	Adelaide	plus	6	LBK_EN	Halberstadt-Sonntagsfeld	5032-4946 calBCE	Germany	51.89	11.04	1731420	1509839	14069	59	871967	722779	1360	0.009	N1a1a1a	0.995	"[ 0.9912666,0.9972262 ]"	93	30508586	29713001	20810651	5265127	0.036	1748	1	0.96	13.37	62	passed	84	..
S0272	I0099	HAL36C	Adelaide	plus	6	Halberstadt_LBA	Halberstadt-Sonntagsfeld	1113-1021 calBCE 	Germany	51.89	11.04	494900	208840	2465	65	398562	337905	925	0.003	H23	0.996	"[ 0.9926606,0.9983101 ]"	93	21779671	20330206	15738966	3697714	0.018	1620	1676	0.95	9.39	72	passed	145	..
S0271	I0172	ESP24	Adelaide	plus	6	Esperstedt_MN	Esperstedt	3360-3086 calBCE 	Germany	51.42	11.68	1633075	1496014	12117	52	659748	522833	684	0.01	T2b	0.978	"[ 0.9712392,0.9832812 ]"	77	69045754	67483405	47942665	15614765	0.034	1760	1881	0.98	39.65	67	passed	94	..
S0274	I0164	QUEVIII6	Adelaide	plus	6	Unetice_EBA	Quedlinburg VIII	2012-1919 calBCE 	Germany	51.79	11.14	954640	318671	3075	70	246042	214448	475	0.004	U5b2a1	0.999	"[ 0.9956509,0.9998782 ]"	70	14329407	12976024	10550601	1875867	0.023	1722	1	0.93	4.76	73	passed	229	..
S0264	LibraryBlank	LibraryBlank	Adelaide	minus	6	n/a	n/a	n/a	n/a	n/a	n/a	0	0	0	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	clean control	n/a	..
S0409	I0409	Troc1	Adelaide	minus	7	Spain_EN	Els Trocs	5311-5218 calBCE 	Spain	42.5	0.5	14906	1095	16	75	..	..	..	..	..	..	..	..	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0413	I0413	Troc7	Adelaide	minus	7	Spain_EN	Els Trocs	5177-5068 calBCE	Spain	42.5	0.5	16828	2631	23	55	140023	96366	394	0.176	V	0.949	"[ 0.9251955,0.9643886 ]"	97	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0406	I0406	Mina4	Adelaide	minus	7	Spain_MN	La Mina	3900-3600 BCE	Spain	41.2522	-2.32622	16887	1077	11	58	211027	133618	339	0.334	H1	0.996	"[ 0.9886555,0.9994612 ]"	76	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0397	I0054	UWS4	Adelaide	plus	7	LBK_EN	Unterwiederstedt	5209-5070 calBCE 	Germany	51.66	11.53	1464082	805676	9384	69	136935	99484	331	0.006	J1c17	0.953	"[ 0.9061218,0.9754461 ]"	84	31043539	27763420	17704464	5601329	0.023	1790	3	0.98	14.22	69	passed	89	..
S0401	I0104	ESP11	Adelaide	plus	7	Corded_Ware_LN	Esperstedt	2473-2348 calBCE 	Germany	51.42	11.68	367752	163382	2047	71	110560	86649	303	0.006	..	0.995	"[ 0.8902294,0.9992865 ]"	82	1170858	1021323	683824	469327	0.016	698	676	0.57	1.19	73	passed	105	..
S0411	I0411	Troc4	Adelaide	minus	7	Spain_EN_relative_of_I0410	Els Trocs	5303-5204 calBCE 	Spain	42.5	0.5	16274	208	1	72	100476	72318	299	0.203	K1a2a	0.996	"[ 0.9892904,0.9988444 ]"	105	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0408	I0408	Mina18	Adelaide	minus	7	Spain_MN	La Mina	3900-3600 BCE	Spain	41.2522	-2.32622	15442	4023	29	57	133642	87906	259	0.279	pre-U5b1i	0.957	"[ 0.9439840,0.9660146 ]"	73	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0404	I0404	Mina2	Adelaide	minus	7	Spain_MN	La Mina	3900-3600 BCE	Spain	41.2522	-2.32622	14884	31	0	27	106807	61847	259	0.319	J2a1a1	0.991	"[ 0.9841387,0.9945962 ]"	104	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0410	I0410	Troc3	Adelaide	minus	7	Spain_EN	Els Trocs	5178-5066 calBCE	Spain	42.5	0.5	10047	3654	41	68	132478	59830	256	0.283	pre-T2c1d2	0.994	"[ 0.9906829,0.9963921 ]"	118	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0407	I0407	Mina6	Adelaide	minus	7	Spain_MN	La Mina	3900-3600 BCE	Spain	41.2522	-2.32622	13883	686	4	55	125799	76251	240	0.279	K1b1a1	0.992	"[ 0.9869453,0.9959203 ]"	84	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0399	I0118	ALB3	Adelaide	plus	7	Alberstedt_LN	Alberstedt	2459-2345 calBCE 	Germany	51.45	11.63	349618	207812	2107	62	123988	90725	222	0.004	HV6'17	0.717	"[ 0.4390020,0.8434595 ]"	74	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	failed screening	n/a	..
S0400	I0112	QUEXII6	Adelaide	plus	7	Bell_Beaker_LN	Quedlinburg XII	2340-2190 calBCE	Germany	51.79	11.14	1682701	879688	12907	86	75454	57114	222	0.004	H13a1a2	0.725	"[ 0.5728636,0.8190303 ]"	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	failed screening	n/a	..
